,,,,
William,Bowen,Jackson,Mississippi,
Joshua,Cates,Jackson,Mississippi,
Thomas,Havens,Jackson,Mississippi,
Sarah,Powell,Jackson,Mississippi,
W S,Johnson,Jackson,Mississippi,
William,Danly,Jackson,Mississippi,
Perry,King,Jackson,Mississippi,
John,Cokell,Jackson,Mississippi,
William,Cates,Jackson,Mississippi,
Joseph,Graham,Jackson,Mississippi,
David D,Smith,Jackson,Mississippi,
John,Monger,Jackson,Mississippi,
Nicholas,Danly,Jackson,Mississippi,
Frederick,Rogers,Jackson,Mississippi,
Ignatius,Grantham,Jackson,Mississippi,
Samuel T,Dockins,Jackson,Mississippi,
John,Fitzgerald,Jackson,Mississippi,
Lewis,Goff,Jackson,Mississippi,
Edmond,Goff,Jackson,Mississippi,
Charles,Lyons,Jackson,Mississippi,
Amos P,Lyons,Jackson,Mississippi,
Charles,Bencroft,Jackson,Mississippi,
Edward,Laurendine,Jackson,Mississippi,
John,Moor,Jackson,Mississippi,
Wm,Goff,Jackson,Mississippi,
Benjamin,Williams,Jackson,Mississippi,
Joshua,Peters,Jackson,Mississippi,
William,Simmons,Jackson,Mississippi,
Elijah,Douglass,Jackson,Mississippi,
David,Odum,Jackson,Mississippi,
Daniel,Mcleod,Jackson,Mississippi,
Peter,Mcleod,Jackson,Mississippi,
